PotLabel,Line,OtherNamesonRecord,DatePlanted,StandCount,StandCountCleaned,DateTaken,NumInfected,DateObserved,Replant,Year,Row,DateReplanted,StandCount1,StandCount2,StandCount3,DateReplantTaken,ReplantInfected1,ReplantInfected2,ReplantInfected3,ReplantDateObserved,SusceptibilityRating03,BadStand,Remove,SCMVTests,GenoName,GBSDataSource,EndospermType,Region,Program,2019Planting,20142015Planting,UninfectedFirstRound,PercentInfectedFirstRound,PercentUninfectedFirstRound,SusceptibilityRating02,PercentInfectedAllRounds,SusceptibilityRating05
206,Ia4189,,2019-02-14,8,8,2019-02-27,0,2019-03-08,y,13,4031,2019-05-22,8,7,8,2019-06-07,6,6,4,2019-06-17,2,Fine,Keep,TRUE,Ia4189,all_sweet,su1,Mdw,IA,TRUE,TRUE,8,0,100,1,51.61290323,3
214,IL799b,,2019-02-14,6 (all small),6,2019-02-27,0,2019-03-08,y,13,4326,2019-05-22,8,8,5,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL799b,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,6,0,100,0,0,0
234,BST2,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4550,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,NA,,,FALSE,FALSE,8,0,100,0,0,0
246,C15,,2019-02-28,1,1,2019-03-15,0,2019-03-26,y,0,6006,2019-05-22,4,2,1,2019-06-07,4,2,0,2019-06-17,2,Fine,Keep,TRUE,C15,WiDivMerged,su1,Ne,CT,TRUE,TRUE,1,0,100,1,75,4
247,MDM-16,,2019-02-28,8 (3 small),8,2019-03-15,0,2019-03-26,y,13,4363,2019-05-22,8,8,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_16,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
253,MDM-6,,2019-02-28,7,7,2019-03-15,0,2019-03-26,y,13,4404,2019-05-22,6,5,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_6,WiDivMerged,su1,,,TRUE,TRUE,7,0,100,0,0,0
256,IL696a,,2019-02-28,7 (1 small),7,2019-03-15,0,2019-03-26,y,13,4222,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL696a,WiDivMerged,se,Mdw,IL,TRUE,TRUE,7,0,100,0,0,0
263,IL795a,,2019-02-28,7,7,2019-03-15,0,2019-03-26,y,13,4320,2019-05-22,8,8,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL795a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,7,0,100,0,0,0
268,ILB5870,,2019-02-28,7,7,2019-03-15,0,2019-03-26,y,13,4339,2019-05-22,,,,2019-06-07,,,,2019-06-17,0,Fine,Keep,TRUE,ILB5870,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,7,0,100,0,0,0
269,A632 su/su,,2019-02-28,5,5,2019-03-15,0,2019-03-26,y,14,32376,2019-05-22,3,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,su1,Mdw,MN,TRUE,FALSE,5,0,100,0,0,0
273,ILB6011,,2019-02-28,8 (1 small),8,2019-03-15,0,2019-03-26,y,13,4340,2019-05-22,5,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,ILB6011,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,8,0,100,0,0,0
279,MDM-15,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4361,2019-05-22,8,7,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_15,WiDivMerged,su1,,,TRUE,TRUE,8,0,100,0,0,0
286,OH43,OH43 Su,2019-02-28,6,6,2019-03-15,0,2019-03-26,y,13,4449,2019-05-22,6,8,5,2019-06-07,2,4,2,2019-06-17,2,Fine,Keep,TRUE,Ames19288,WiDivMerged,field,Mdw,OH,TRUE,TRUE,6,0,100,1,32,2
318,OH7B,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4451,2019-05-22,8,2,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Ames19323,WiDivMerged,field,Mdw,OH,FALSE,TRUE,8,0,100,0,0,0
325,IaEV3004,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4042,2019-05-22,6,8,8,2019-06-07,3,5,4,2019-06-17,2,Fine,Keep,TRUE,Ames22027,all_sweet,su1,Mdw,IA,TRUE,TRUE,8,0,100,1,40,2
327,NY MDM-1,,2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4440,2019-05-22,8,5,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,MDM_1,WiDivMerged,su1,Ne,NY,FALSE,FALSE,8,0,100,0,0,0
328,STRAIN 465A-421-68B,Strain 465A-421-68(B),2019-02-28,8,8,2019-03-15,0,2019-03-26,y,13,4525,2019-05-22,8,8,8,2019-06-07,7,4,0,2019-06-17,2,Fine,Keep,TRUE,PI358530,all_sweet,su1,Mdw,IL,TRUE,FALSE,8,0,100,1,34.375,2
348,MDM-9,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,96,7738,2019-05-22,7,8,8,2019-06-07,4,0,6,2019-06-17,2,Fine,Keep,TRUE,MDM_9,WiDivMerged,su1,,,TRUE,TRUE,7,0,100,1,33.33333333,2
350,2,,2019-03-12,5,5,2019-03-26,0,2019-04-10,y,13,3857,2019-05-22,8,8,6,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,2,WiDivMerged,su1,,,TRUE,TRUE,5,0,100,0,0,0
364,IL797a,,2019-03-12,8,8,2019-03-26,0,2019-04-10,y,13,4323,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL797a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,8,0,100,0,0,0
373,IL793a,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,13,4318,2019-05-22,8,7,7,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,IL793a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,7,0,100,0,0,0
392,Wh13074,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,15,8169,2019-05-22,8,8,4,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,FALSE,FALSE,7,0,100,0,0,0
396,Wh13022A,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,16,9264,2019-05-22,8,8,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,7,0,100,0,0,0
402,Wh11005,,2019-03-12,1,1,2019-03-26,0,2019-04-10,y,14,10231,2019-05-22,1,0,1,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,1,0,100,0,0,0
403,Wh13070,,2019-03-12,7,7,2019-03-26,0,2019-04-10,y,15,8166,2019-05-22,8,6,8,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,7,0,100,0,0,0
405,Wh13063A,,2019-03-12,6,6,2019-03-26,0,2019-04-10,y,15,8160,2019-05-22,6,5,5,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,,NA,sh2,Mdw,WI,TRUE,FALSE,6,0,100,0,0,0
407,Wh10231V,,2019-03-12,5,5,2019-03-26,0,2019-04-10,y,14,41528,2019-05-22,,,,2019-06-07,,,,2019-06-17,0,Fine,Keep,TRUE,Wh10231V,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,5,0,100,0,0,0
436,Wh10140R,,2019-03-12,6,6,2019-03-26,0,2019-04-10,y,14,41519,2019-05-22,5,7,2,2019-06-07,0,0,0,2019-06-17,0,Fine,Keep,TRUE,Wh10140R,WiDivMerged,sh2,Mdw,WI,TRUE,TRUE,6,0,100,0,0,0
